"candidate_id","type_code","commune","nom","context","profile","c","t","b","boundary_distance"
"floor-low__car-0.05__bike-0.05","A128","22127","Lézardrieux","Département 22","La voiture ouvre l’accès",0.83,0,0.05,0
"floor-low__car-0.05__bike-0.05","A128","22214","Plouézec","Département 22","La voiture ouvre l’accès",1,0.05,0.08,0
"floor-low__car-0.05__bike-0.05","A128","22237","Val-d'Arguenon","Département 22","La voiture ouvre l’accès",1,0.05,0.05,0
"floor-low__car-0.05__bike-0.05","A128","22243","Plusquellec","Département 22","La voiture ouvre l’accès",1,0.02,0.07,0
"floor-low__car-0.05__bike-0.05","A128","22273","Saint-Alban","Département 22","La voiture ouvre l’accès",1,0.02,0.05,0
"floor-low__car-0.05__bike-0.05","A128","22289","Saint-Fiacre","Département 22","La voiture ouvre l’accès",0.05,0,0,0
"floor-low__car-0.05__bike-0.05","A128","22293","Saint-Gilles-les-Bois","Département 22","La voiture ouvre l’accès",0.05,0,0,0
"floor-low__car-0.05__bike-0.05","A128","22360","Trégueux","Département 22","La voiture ouvre l’accès",1,0.05,0.71,0
"floor-low__car-0.05__bike-0.05","A128","22387","Le Vieux-Marché","Département 22","La voiture ouvre l’accès",1,0.06,0.11,0
"floor-low__car-0.05__bike-0.05","A128","29135","Loctudy","Département 29","La voiture ouvre l’accès",0.88,0.05,0.17,0
"floor-low__car-0.05__bike-0.05","A128","29147","Mellac","Département 29","La voiture ouvre l’accès",1,0,0.05,0
"floor-low__car-0.05__bike-0.05","A128","29174","Plonéour-Lanvern","Département 29","La voiture ouvre l’accès",1,0.05,0.08,0
"floor-low__car-0.05__bike-0.05","A128","56260","Vannes","Département 56","Accès à pied ou en TC possible",0.05,0,0.02,0
"floor-low__car-0.05__bike-0.05","A128","35125","La Guerche-de-Bretagne","Département 35","Accès à pied ou en TC possible",1,0.93,0.98,6.93889390390723e-17
"floor-low__car-0.05__bike-0.05","A129","35059","La Chapelle-des-Fougeretz","Département 35","Accès à pied ou en TC possible",1,0.92,0.97,6.93889390390723e-17
"floor-low__car-0.05__bike-0.05","A129","35278","Saint-Grégoire","Département 35","Accès à pied ou en TC possible",1,0.92,0.97,6.93889390390723e-17
"floor-low__car-0.05__bike-0.05","A129","56124","Malestroit","Département 56","Accès à pied ou en TC possible",1,0.93,0.98,6.93889390390723e-17
"floor-low__car-0.05__bike-0.05","A203","56178","Pontivy","Département 56","Accès à pied ou en TC possible",1,0.91,0.96,6.93889390390723e-17
"floor-low__car-0.05__bike-0.05","A401","35059","La Chapelle-des-Fougeretz","Département 35","Accès à pied ou en TC possible",1,0.92,0.97,6.93889390390723e-17
"floor-low__car-0.05__bike-0.05","A401","35090","Crevin","Département 35","Accès à pied ou en TC possible",1,0.92,0.97,6.93889390390723e-17
"floor-low__car-0.05__bike-0.05","A401","35325","La Selle-Guerchaise","Département 35","Accès à pied ou en TC possible",1,0.92,0.97,6.93889390390723e-17
"floor-low__car-0.05__bike-0.05","A404","35067","Chasné-sur-Illet","Département 35","Accès à pied ou en TC possible",1,0.92,0.97,6.93889390390723e-17
"floor-low__car-0.05__bike-0.05","A404","35095","Dol-de-Bretagne","Département 35","Accès à pied ou en TC possible",1,0.93,0.98,6.93889390390723e-17
"floor-low__car-0.05__bike-0.05","A404","35360","Vitré","Département 35","Accès à pied ou en TC possible",1,0.92,0.97,6.93889390390723e-17
"floor-low__car-0.05__bike-0.05","B304","56123","Malansac","Département 56","Le vélo compense",0.22,0.05,0.33,0
"floor-low__car-0.05__bike-0.05","D269","35353","Vezin-le-Coquet","Département 35","Le vélo compense",1,0.05,0.99,0
"floor-low__car-0.05__bike-0.05","F121","56259","La Trinité-Surzur","Département 56","Le vélo compense",1,0.05,0.96,0
"floor-low__car-0.05__bike-0.05","A129","22262","Quintin","Département 22","Le vélo compense",1,0.95,1,4.16333634234434e-17
"floor-low__car-0.05__bike-0.05","A129","35081","Clayes","Département 35","Le vélo compense",1,0.94,0.99,4.16333634234434e-17
"floor-low__car-0.05__bike-0.05","A129","35131","L'Hermitage","Département 35","Le vélo compense",1,0.94,0.99,4.16333634234434e-17
"floor-low__car-0.05__bike-0.05","A129","56065","Gourhel","Département 56","Le vélo compense",1,0.95,1,4.16333634234434e-17
"floor-low__car-0.05__bike-0.05","A129","56091","Josselin","Département 56","Le vélo compense",1,0.95,1,4.16333634234434e-17
"floor-low__car-0.05__bike-0.05","A129","56262","Le Bono","Département 56","Le vélo compense",1,0.94,0.99,4.16333634234434e-17
"floor-low__car-0.05__bike-0.05","A203","22278","Saint-Brieuc","Département 22","Le vélo compense",1,0.95,1,4.16333634234434e-17
"floor-low__car-0.05__bike-0.05","A203","35189","Montgermont","Département 35","Le vélo compense",1,0.94,0.99,4.16333634234434e-17
"floor-low__car-0.05__bike-0.05","A203","35288","Saint-Malo","Département 35","Le vélo compense",1,0.94,0.99,4.16333634234434e-17
"floor-low__car-0.05__bike-0.10","A128","22127","Lézardrieux","Département 22","La voiture ouvre l’accès",0.83,0,0.05,0
"floor-low__car-0.05__bike-0.10","A128","22214","Plouézec","Département 22","La voiture ouvre l’accès",1,0.05,0.08,0
"floor-low__car-0.05__bike-0.10","A128","22237","Val-d'Arguenon","Département 22","La voiture ouvre l’accès",1,0.05,0.05,0
"floor-low__car-0.05__bike-0.10","A128","22273","Saint-Alban","Département 22","La voiture ouvre l’accès",1,0.02,0.05,0
"floor-low__car-0.05__bike-0.10","A128","22289","Saint-Fiacre","Département 22","La voiture ouvre l’accès",0.05,0,0,0
"floor-low__car-0.05__bike-0.10","A128","22293","Saint-Gilles-les-Bois","Département 22","La voiture ouvre l’accès",0.05,0,0,0
"floor-low__car-0.05__bike-0.10","A128","22360","Trégueux","Département 22","La voiture ouvre l’accès",1,0.05,0.71,0
"floor-low__car-0.05__bike-0.10","A128","29135","Loctudy","Département 29","La voiture ouvre l’accès",0.88,0.05,0.17,0
"floor-low__car-0.05__bike-0.10","A128","29147","Mellac","Département 29","La voiture ouvre l’accès",1,0,0.05,0
"floor-low__car-0.05__bike-0.10","A128","29174","Plonéour-Lanvern","Département 29","La voiture ouvre l’accès",1,0.05,0.08,0
"floor-low__car-0.05__bike-0.10","A128","29195","Plouguerneau","Département 29","La voiture ouvre l’accès",0.05,0,0,0
"floor-low__car-0.05__bike-0.10","A128","29235","Le Relecq-Kerhuon","Département 29","La voiture ouvre l’accès",1,0,0.05,0
"floor-low__car-0.05__bike-0.10","A128","56260","Vannes","Département 56","Accès à pied ou en TC possible",0.05,0,0.02,0
"floor-low__car-0.05__bike-0.10","A129","35181","Le Minihic-sur-Rance","Département 35","Accès à pied ou en TC possible",1,0.89,0.99,2.77555756156289e-17
"floor-low__car-0.05__bike-0.10","A129","35281","Saint-Jacques-de-la-Lande","Département 35","Accès à pied ou en TC possible",1,0.9,1,2.77555756156289e-17
"floor-low__car-0.05__bike-0.10","A129","56098","Lanester","Département 56","Accès à pied ou en TC possible",1,0.88,0.98,2.77555756156289e-17
"floor-low__car-0.05__bike-0.10","A129","56132","Meucon","Département 56","Accès à pied ou en TC possible",1,0.88,0.98,2.77555756156289e-17
"floor-low__car-0.05__bike-0.10","A203","35188","Montfort-sur-Meu","Département 35","Accès à pied ou en TC possible",1,0.86,0.96,2.77555756156289e-17
"floor-low__car-0.05__bike-0.10","A206","56098","Lanester","Département 56","Accès à pied ou en TC possible",1,0.88,0.98,2.77555756156289e-17
"floor-low__car-0.05__bike-0.10","A207","22278","Saint-Brieuc","Département 22","Accès à pied ou en TC possible",1,0.9,1,2.77555756156289e-17
"floor-low__car-0.05__bike-0.10","A207","56098","Lanester","Département 56","Accès à pied ou en TC possible",1,0.87,0.97,2.77555756156289e-17
"floor-low__car-0.05__bike-0.10","A401","22327","Saint-Samson-sur-Rance","Département 22","Accès à pied ou en TC possible",1,0.9,1,2.77555756156289e-17
"floor-low__car-0.05__bike-0.10","A401","29022","Camaret-sur-Mer","Département 29","Accès à pied ou en TC possible",1,0.86,0.96,2.77555756156289e-17
"floor-low__car-0.05__bike-0.10","A401","56087","Île-aux-Moines","Département 56","Accès à pied ou en TC possible",1,0.86,0.96,2.77555756156289e-17
"floor-low__car-0.05__bike-0.10","B304","56123","Malansac","Département 56","Le vélo compense",0.22,0.05,0.33,0
"floor-low__car-0.05__bike-0.10","D269","35353","Vezin-le-Coquet","Département 35","Le vélo compense",1,0.05,0.99,0
"floor-low__car-0.05__bike-0.10","F121","56259","La Trinité-Surzur","Département 56","Le vélo compense",1,0.05,0.96,0
"floor-low__car-0.05__bike-0.10","A128","29105","Landivisiau","Département 29","Le vélo compense",1,0.58,0.96,0.00999999999999997
"floor-low__car-0.05__bike-0.10","A128","35188","Montfort-sur-Meu","Département 35","Le vélo compense",1,0.77,0.96,0.00999999999999997
"floor-low__car-0.05__bike-0.10","A128","56186","Quiberon","Département 56","Le vélo compense",1,0.65,0.96,0.00999999999999997
"floor-low__car-0.05__bike-0.10","A129","22064","Gouarec","Département 22","Le vélo compense",1,0.76,0.96,0.00999999999999997
"floor-low__car-0.05__bike-0.10","A129","22307","Saint-Julien","Département 22","Le vélo compense",1,0.84,0.96,0.00999999999999997
