"candidate_id","type_code","commune","nom","context","profile","c","t","b","rarity","signal"
"floor-low__car-0.05__bike-0.05","D269","56011","Béganne","Département 56","La voiture ouvre l’accès",1,0,0,0.441767068273092,1
"floor-low__car-0.05__bike-0.05","A207","22384","Uzel","Département 22","Accès à pied ou en TC possible",1,1,1,0.00290697674418605,1
"floor-low__car-0.05__bike-0.05","C303","22106","Langueux","Département 22","Le vélo compense",1,0.55,0.99,0.00290697674418605,0.44
"floor-low__car-0.05__bike-0.05","A203","22016","Île-de-Bréhat","Département 22","Aucun mode ne permet l’accès",0,0,0,0.00290697674418605,0
"floor-low__car-0.05__bike-0.10","D269","56011","Béganne","Département 56","La voiture ouvre l’accès",1,0,0,0.441767068273092,1
"floor-low__car-0.05__bike-0.10","B307","22324","Saint-Quay-Perros","Département 22","Accès à pied ou en TC possible",1,1,1,0.00290697674418605,1
"floor-low__car-0.05__bike-0.10","A207","22362","Tréguier","Département 22","Le vélo compense",1,0.36,0.98,0.00290697674418605,0.62
"floor-low__car-0.05__bike-0.10","A203","22016","Île-de-Bréhat","Département 22","Aucun mode ne permet l’accès",0,0,0,0.00290697674418605,0
"floor-low__car-0.05__bike-0.20","D269","56011","Béganne","Département 56","La voiture ouvre l’accès",1,0,0,0.441767068273092,1
"floor-low__car-0.05__bike-0.20","D267","22070","Guingamp","Département 22","Accès à pied ou en TC possible",1,0.89,1,0.00290697674418605,0.89
"floor-low__car-0.05__bike-0.20","B306","22362","Tréguier","Département 22","Le vélo compense",1,0.33,1,0.00290697674418605,0.67
"floor-low__car-0.05__bike-0.20","A203","22016","Île-de-Bréhat","Département 22","Aucun mode ne permet l’accès",0,0,0,0.00290697674418605,0
"floor-low__car-0.05__bike-0.30","D269","56011","Béganne","Département 56","La voiture ouvre l’accès",1,0,0,0.441767068273092,1
"floor-low__car-0.05__bike-0.30","D267","22070","Guingamp","Département 22","Accès à pied ou en TC possible",1,0.89,1,0.00290697674418605,0.89
"floor-low__car-0.05__bike-0.30","D265","22153","Moncontour","Département 22","Le vélo compense",1,0.03,1,0.00290697674418605,0.97
"floor-low__car-0.05__bike-0.30","A203","22016","Île-de-Bréhat","Département 22","Aucun mode ne permet l’accès",0,0,0,0.00290697674418605,0
"floor-low__car-0.10__bike-0.05","D269","56011","Béganne","Département 56","La voiture ouvre l’accès",1,0,0,0.409638554216867,1
"floor-low__car-0.10__bike-0.05","C107","22214","Plouézec","Département 22","Accès à pied ou en TC possible",0.09,0,0,0.00290697674418605,0
"floor-low__car-0.10__bike-0.05","D267","22278","Saint-Brieuc","Département 22","Le vélo compense",1,0.69,0.99,0.00581395348837209,0.3
"floor-low__car-0.10__bike-0.05","A203","22016","Île-de-Bréhat","Département 22","Aucun mode ne permet l’accès",0,0,0,0.00290697674418605,0
"floor-low__car-0.10__bike-0.10","D269","56011","Béganne","Département 56","La voiture ouvre l’accès",1,0,0,0.409638554216867,1
"floor-low__car-0.10__bike-0.10","F101","56195","La Roche-Bernard","Département 56","Accès à pied ou en TC possible",1,0.9,1,0.00803212851405622,0.9
"floor-low__car-0.10__bike-0.10","A207","22362","Tréguier","Département 22","Le vélo compense",1,0.36,0.98,0.00581395348837209,0.62
"floor-low__car-0.10__bike-0.10","A203","22016","Île-de-Bréhat","Département 22","Aucun mode ne permet l’accès",0,0,0,0.00290697674418605,0
"floor-low__car-0.10__bike-0.20","D269","56011","Béganne","Département 56","La voiture ouvre l’accès",1,0,0,0.409638554216867,1
