"candidate_id","profile","n","share","mean_c","median_c","mean_t","median_t","mean_b","median_b"
"floor-low__car-0.05__bike-0.05","La voiture ouvre l’accès",54925,0.863600628930818,0.935803368229404,1,0.176931634046427,0,0.234757760582613,0
"floor-low__car-0.05__bike-0.05","Accès à pied ou en TC possible",1667,0.0262106918238994,0.999430113977205,1,0.969496100779844,0.97,0.987816436712658,1
"floor-low__car-0.05__bike-0.05","Le vélo compense",1521,0.0239150943396226,0.985996055226824,1,0.759618671926364,0.83,0.971630506245891,0.98
"floor-low__car-0.05__bike-0.05","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-low__car-0.05__bike-0.10","La voiture ouvre l’accès",54925,0.863600628930818,0.935803368229404,1,0.176931634046427,0,0.234757760582613,0
"floor-low__car-0.05__bike-0.10","Accès à pied ou en TC possible",2210,0.034748427672956,0.998714932126697,1,0.953864253393665,0.96,0.98579185520362,0.99
"floor-low__car-0.05__bike-0.10","Le vélo compense",978,0.015377358490566,0.980153374233129,1,0.678415132924335,0.76,0.96721881390593,0.98
"floor-low__car-0.05__bike-0.10","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-low__car-0.05__bike-0.20","La voiture ouvre l’accès",54925,0.863600628930818,0.935803368229404,1,0.176931634046427,0,0.234757760582613,0
"floor-low__car-0.05__bike-0.20","Accès à pied ou en TC possible",2646,0.0416037735849057,0.997157974300831,1,0.931730914588057,0.95,0.983416477702192,0.99
"floor-low__car-0.05__bike-0.20","Le vélo compense",542,0.00852201257861635,0.972822878228782,1,0.564889298892989,0.64,0.963874538745387,0.98
"floor-low__car-0.05__bike-0.20","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-low__car-0.05__bike-0.30","La voiture ouvre l’accès",54925,0.863600628930818,0.935803368229404,1,0.176931634046427,0,0.234757760582613,0
"floor-low__car-0.05__bike-0.30","Accès à pied ou en TC possible",2872,0.0451572327044025,0.995041782729805,1,0.914025069637883,0.94,0.981190807799443,0.99
"floor-low__car-0.05__bike-0.30","Le vélo compense",316,0.0049685534591195,0.974651898734177,1,0.463449367088608,0.53,0.970126582278481,0.98
"floor-low__car-0.05__bike-0.30","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-low__car-0.10__bike-0.05","La voiture ouvre l’accès",52334,0.822861635220126,0.94332498949058,1,0.157758436198265,0,0.211202850919097,0
"floor-low__car-0.10__bike-0.05","Accès à pied ou en TC possible",2759,0.0433805031446541,0.796984414642987,1,0.746317506342878,0.94,0.762185574483509,0.97
"floor-low__car-0.10__bike-0.05","Le vélo compense",3020,0.0474842767295598,0.992682119205298,1,0.719960264900662,0.79,0.947897350993377,0.95
"floor-low__car-0.10__bike-0.05","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-low__car-0.10__bike-0.10","La voiture ouvre l’accès",52334,0.822861635220126,0.94332498949058,1,0.157758436198265,0,0.211202850919097,0
"floor-low__car-0.10__bike-0.10","Accès à pied ou en TC possible",3741,0.0588207547169811,0.849770114942529,1,0.78193531141406,0.92,0.812788024592355,0.97
"floor-low__car-0.10__bike-0.10","Le vélo compense",2038,0.0320440251572327,0.990083415112856,1,0.641879293424926,0.72,0.944494602551521,0.95
"floor-low__car-0.10__bike-0.10","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-low__car-0.10__bike-0.20","La voiture ouvre l’accès",52334,0.822861635220126,0.94332498949058,1,0.157758436198265,0,0.211202850919097,0
"floor-low__car-0.10__bike-0.20","Accès à pied ou en TC possible",4596,0.0722641509433962,0.876527415143603,1,0.785041340295909,0.9,0.837935161009574,0.97
"floor-low__car-0.10__bike-0.20","Le vélo compense",1183,0.0186006289308176,0.987540152155537,1,0.528588334742181,0.61,0.941986475063398,0.95
"floor-low__car-0.10__bike-0.20","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-low__car-0.10__bike-0.30","La voiture ouvre l’accès",52334,0.822861635220126,0.94332498949058,1,0.157758436198265,0,0.211202850919097,0
"floor-low__car-0.10__bike-0.30","Accès à pied ou en TC possible",5064,0.079622641509434,0.886611374407583,1,0.776534360189573,0.88,0.847251184834123,0.96
"floor-low__car-0.10__bike-0.30","Le vélo compense",715,0.0112421383647799,0.988783216783217,1,0.420979020979021,0.48,0.944111888111888,0.95
"floor-low__car-0.10__bike-0.30","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-low__car-0.20__bike-0.05","La voiture ouvre l’accès",48272,0.758993710691824,0.954069232681472,1,0.126413241630759,0,0.173071967185946,0
"floor-low__car-0.20__bike-0.05","Accès à pied ou en TC possible",4573,0.0719025157232704,0.714638093155478,1,0.618941613820249,0.85,0.634377870107151,0.88
"floor-low__car-0.20__bike-0.05","Le vélo compense",5268,0.0828301886792453,0.995041761579347,1,0.675182232346241,0.74,0.904151480637813,0.91
"floor-low__car-0.20__bike-0.05","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-low__car-0.20__bike-0.10","La voiture ouvre l’accès",48272,0.758993710691824,0.954069232681472,1,0.126413241630759,0,0.173071967185946,0
"floor-low__car-0.20__bike-0.10","Accès à pied ou en TC possible",6347,0.0997955974842767,0.793847487001733,1,0.678878210178037,0.84,0.7104001890657,0.89
"floor-low__car-0.20__bike-0.10","Le vélo compense",3494,0.054937106918239,0.993523182598741,1,0.594859759587865,0.66,0.9030251860332,0.91
"floor-low__car-0.20__bike-0.10","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-low__car-0.20__bike-0.20","La voiture ouvre l’accès",48272,0.758993710691824,0.954069232681472,1,0.126413241630759,0,0.173071967185946,0
"floor-low__car-0.20__bike-0.20","Accès à pied ou en TC possible",7762,0.122044025157233,0.830468951301211,1,0.693327750579747,0.82,0.746159494975522,0.9
"floor-low__car-0.20__bike-0.20","Le vélo compense",2079,0.032688679245283,0.992698412698413,1,0.483727753727754,0.54,0.900620490620491,0.91
"floor-low__car-0.20__bike-0.20","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-low__car-0.20__bike-0.30","La voiture ouvre l’accès",48272,0.758993710691824,0.954069232681472,1,0.126413241630759,0,0.173071967185946,0
"floor-low__car-0.20__bike-0.30","Accès à pied ou en TC possible",8535,0.134198113207547,0.845034563561804,1,0.690111306385472,0.81,0.760355008787346,0.9
"floor-low__car-0.20__bike-0.30","Le vélo compense",1306,0.0205345911949686,0.993529862174579,1,0.380689127105666,0.43,0.89927258805513,0.9
"floor-low__car-0.20__bike-0.30","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-low__car-0.30__bike-0.05","La voiture ouvre l’accès",44480,0.69937106918239,0.960883992805755,1,0.0950107913669065,0,0.134482464028777,0
"floor-low__car-0.30__bike-0.05","Accès à pied ou en TC possible",6121,0.0962421383647799,0.709665087404019,1,0.571161574906061,0.77,0.586840385557915,0.8
"floor-low__car-0.30__bike-0.05","Le vélo compense",7512,0.11811320754717,0.995842651757188,1,0.634629925452609,0.68,0.857931309904153,0.86
"floor-low__car-0.30__bike-0.05","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-low__car-0.30__bike-0.10","La voiture ouvre l’accès",44480,0.69937106918239,0.960883992805755,1,0.0950107913669065,0,0.134482464028777,0
"floor-low__car-0.30__bike-0.10","Accès à pied ou en TC possible",8758,0.137704402515723,0.79644667732359,1,0.63496460379082,0.78,0.667862525690797,0.82
"floor-low__car-0.30__bike-0.10","Le vélo compense",4875,0.0766509433962264,0.994738461538462,1,0.554338461538462,0.61,0.859013333333333,0.87
"floor-low__car-0.30__bike-0.10","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-low__car-0.30__bike-0.20","La voiture ouvre l’accès",44480,0.69937106918239,0.960883992805755,1,0.0950107913669065,0,0.134482464028777,0
"floor-low__car-0.30__bike-0.20","Accès à pied ou en TC possible",10794,0.169716981132075,0.834093014637762,1,0.649377431906615,0.76,0.703863257365203,0.83
"floor-low__car-0.30__bike-0.20","Le vélo compense",2839,0.0446383647798742,0.993811201127157,1,0.441718915110955,0.49,0.859221556886228,0.87
"floor-low__car-0.30__bike-0.20","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-low__car-0.30__bike-0.30","La voiture ouvre l’accès",44480,0.69937106918239,0.960883992805755,1,0.0950107913669065,0,0.134482464028777,0
"floor-low__car-0.30__bike-0.30","Accès à pied ou en TC possible",11815,0.185770440251572,0.847794329242488,1,0.646838764282691,0.74,0.717765552264071,0.84
"floor-low__car-0.30__bike-0.30","Le vélo compense",1818,0.0285849056603774,0.994466446644664,1,0.341595159515952,0.37,0.856122112211221,0.86
"floor-low__car-0.30__bike-0.30","Aucun mode ne permet l’accès",5487,0.0862735849056604,0.00360488427191544,0,0,0,1.82248952068526e-05,0
"floor-moderate__car-0.05__bike-0.05","La voiture ouvre l’accès",54329,0.854229559748428,0.945326437077804,1,0.178872609471921,0,0.237332732058385,0
"floor-moderate__car-0.05__bike-0.05","Accès à pied ou en TC possible",1667,0.0262106918238994,0.999460107978404,1,0.969496100779844,0.97,0.987846430713857,1
"floor-moderate__car-0.05__bike-0.05","Le vélo compense",1519,0.0238836477987421,0.987221856484529,1,0.760618828176432,0.83,0.972804476629361,0.98
"floor-moderate__car-0.05__bike-0.05","Aucun mode ne permet l’accès",6085,0.0956761006289308,0.00989317995069844,0,0,0,3.7797863599014e-05,0
"floor-moderate__car-0.05__bike-0.10","La voiture ouvre l’accès",54329,0.854229559748428,0.945326437077804,1,0.178872609471921,0,0.237332732058385,0
"floor-moderate__car-0.05__bike-0.10","Accès à pied ou en TC possible",2208,0.0347169811320755,0.999592391304348,1,0.954728260869565,0.96,0.986634963768116,0.99
"floor-moderate__car-0.05__bike-0.10","Le vélo compense",978,0.015377358490566,0.980153374233129,1,0.678415132924335,0.76,0.96721881390593,0.98
"floor-moderate__car-0.05__bike-0.10","Aucun mode ne permet l’accès",6085,0.0956761006289308,0.00989317995069844,0,0,0,3.7797863599014e-05,0
"floor-moderate__car-0.05__bike-0.20","La voiture ouvre l’accès",54329,0.854229559748428,0.945326437077804,1,0.178872609471921,0,0.237332732058385,0
"floor-moderate__car-0.05__bike-0.20","Accès à pied ou en TC possible",2644,0.0415723270440252,0.997889561270802,1,0.932435703479576,0.95,0.984118759455371,0.99
"floor-moderate__car-0.05__bike-0.20","Le vélo compense",542,0.00852201257861635,0.972822878228782,1,0.564889298892989,0.64,0.963874538745387,0.98
"floor-moderate__car-0.05__bike-0.20","Aucun mode ne permet l’accès",6085,0.0956761006289308,0.00989317995069844,0,0,0,3.7797863599014e-05,0
"floor-moderate__car-0.05__bike-0.30","La voiture ouvre l’accès",54329,0.854229559748428,0.945326437077804,1,0.178872609471921,0,0.237332732058385,0
"floor-moderate__car-0.05__bike-0.30","Accès à pied ou en TC possible",2870,0.045125786163522,0.995714285714286,1,0.914662020905923,0.94,0.981836236933798,0.99
