"candidate_id","floor_set","floor_t","floor_b","floor_c","gap_car","gap_bike","non_empty_profiles","min_profile_share","max_profile_share","entropy_normalized"
"floor-low__car-0.05__bike-0.05","low",0.05,0.05,0.05,0.05,0.05,4,0.0239150943396226,0.863600628930818,0.377093305763088
"floor-low__car-0.05__bike-0.10","low",0.05,0.05,0.05,0.05,0.1,4,0.015377358490566,0.863600628930818,0.374359684204282
"floor-low__car-0.05__bike-0.20","low",0.05,0.05,0.05,0.05,0.2,4,0.00852201257861635,0.863600628930818,0.368553047787869
"floor-low__car-0.05__bike-0.30","low",0.05,0.05,0.05,0.05,0.3,4,0.0049685534591195,0.863600628930818,0.363752796727361
"floor-low__car-0.10__bike-0.05","low",0.05,0.05,0.05,0.1,0.05,4,0.0433805031446541,0.822861635220126,0.470780111521737
"floor-low__car-0.10__bike-0.10","low",0.05,0.05,0.05,0.1,0.1,4,0.0320440251572327,0.822861635220126,0.46795829486528
"floor-low__car-0.10__bike-0.20","low",0.05,0.05,0.05,0.1,0.2,4,0.0186006289308176,0.822861635220126,0.458636672386185
"floor-low__car-0.10__bike-0.30","low",0.05,0.05,0.05,0.1,0.3,4,0.0112421383647799,0.822861635220126,0.449946765034388
"floor-low__car-0.20__bike-0.05","low",0.05,0.05,0.05,0.2,0.05,4,0.0719025157232704,0.758993710691824,0.588834539860418
"floor-low__car-0.20__bike-0.10","low",0.05,0.05,0.05,0.2,0.1,4,0.054937106918239,0.758993710691824,0.584354572930273
"floor-low__car-0.20__bike-0.20","low",0.05,0.05,0.05,0.2,0.2,4,0.032688679245283,0.758993710691824,0.569298237019595
"floor-low__car-0.20__bike-0.30","low",0.05,0.05,0.05,0.2,0.3,4,0.0205345911949686,0.758993710691824,0.55544514359859
"floor-low__car-0.30__bike-0.05","low",0.05,0.05,0.05,0.3,0.05,4,0.0862735849056604,0.69937106918239,0.677390146946727
"floor-low__car-0.30__bike-0.10","low",0.05,0.05,0.05,0.3,0.1,4,0.0766509433962264,0.69937106918239,0.671836806407314
"floor-low__car-0.30__bike-0.20","low",0.05,0.05,0.05,0.3,0.2,4,0.0446383647798742,0.69937106918239,0.650128090439557
"floor-low__car-0.30__bike-0.30","low",0.05,0.05,0.05,0.3,0.3,4,0.0285849056603774,0.69937106918239,0.631741567838583
"floor-moderate__car-0.05__bike-0.05","moderate",0.1,0.1,0.1,0.05,0.05,4,0.0238836477987421,0.854229559748428,0.392242305060791
"floor-moderate__car-0.05__bike-0.10","moderate",0.1,0.1,0.1,0.05,0.1,4,0.015377358490566,0.854229559748428,0.389517163410001
"floor-moderate__car-0.05__bike-0.20","moderate",0.1,0.1,0.1,0.05,0.2,4,0.00852201257861635,0.854229559748428,0.383714613067779
"floor-moderate__car-0.05__bike-0.30","moderate",0.1,0.1,0.1,0.05,0.3,4,0.0049685534591195,0.854229559748428,0.37891622184396
"floor-moderate__car-0.10__bike-0.05","moderate",0.1,0.1,0.1,0.1,0.05,4,0.0340094339622641,0.822861635220126,0.46497301263796
"floor-moderate__car-0.10__bike-0.10","moderate",0.1,0.1,0.1,0.1,0.1,4,0.0320440251572327,0.822861635220126,0.464430023548753
"floor-moderate__car-0.10__bike-0.20","moderate",0.1,0.1,0.1,0.1,0.2,4,0.0186006289308176,0.822861635220126,0.456616260575038
"floor-moderate__car-0.10__bike-0.30","moderate",0.1,0.1,0.1,0.1,0.3,4,0.0112421383647799,0.822861635220126,0.448628554118723
"floor-moderate__car-0.20__bike-0.05","moderate",0.1,0.1,0.1,0.2,0.05,4,0.062562893081761,0.758993710691824,0.586790404283267
"floor-moderate__car-0.20__bike-0.10","moderate",0.1,0.1,0.1,0.2,0.1,4,0.054937106918239,0.758993710691824,0.584655201104779
"floor-moderate__car-0.20__bike-0.20","moderate",0.1,0.1,0.1,0.2,0.2,4,0.032688679245283,0.758993710691824,0.571025694683029
"floor-moderate__car-0.20__bike-0.30","moderate",0.1,0.1,0.1,0.2,0.3,4,0.0205345911949686,0.758993710691824,0.557841389293383
"floor-moderate__car-0.30__bike-0.05","moderate",0.1,0.1,0.1,0.3,0.05,4,0.0869496855345912,0.69937106918239,0.677456586136442
"floor-moderate__car-0.30__bike-0.10","moderate",0.1,0.1,0.1,0.3,0.1,4,0.0766509433962264,0.69937106918239,0.674414331633836
"floor-moderate__car-0.30__bike-0.20","moderate",0.1,0.1,0.1,0.3,0.2,4,0.0446383647798742,0.69937106918239,0.654168874932669
"floor-moderate__car-0.30__bike-0.30","moderate",0.1,0.1,0.1,0.3,0.3,4,0.0285849056603774,0.69937106918239,0.63641218273552
"floor-permissive__car-0.05__bike-0.05","permissive",0.01,0.01,0.01,0.05,0.05,4,0.0239150943396226,0.863600628930818,0.386110275770444
"floor-permissive__car-0.05__bike-0.10","permissive",0.01,0.01,0.01,0.05,0.1,4,0.015377358490566,0.863600628930818,0.38098241343261
"floor-permissive__car-0.05__bike-0.20","permissive",0.01,0.01,0.01,0.05,0.2,4,0.00852201257861635,0.863600628930818,0.373589702532787
"floor-permissive__car-0.05__bike-0.30","permissive",0.01,0.01,0.01,0.05,0.3,4,0.0049685534591195,0.863600628930818,0.368054285301022
"floor-permissive__car-0.10__bike-0.05","permissive",0.01,0.01,0.01,0.1,0.05,4,0.0474842767295598,0.822861635220126,0.475442637091879
"floor-permissive__car-0.10__bike-0.10","permissive",0.01,0.01,0.01,0.1,0.1,4,0.0320440251572327,0.822861635220126,0.46983852445846
"floor-permissive__car-0.10__bike-0.20","permissive",0.01,0.01,0.01,0.1,0.2,4,0.0186006289308176,0.822861635220126,0.458585011354107
"floor-permissive__car-0.10__bike-0.30","permissive",0.01,0.01,0.01,0.1,0.3,4,0.0112421383647799,0.822861635220126,0.448972715010474
"floor-permissive__car-0.20__bike-0.05","permissive",0.01,0.01,0.01,0.2,0.05,4,0.0718710691823899,0.758993710691824,0.588830397484923
"floor-permissive__car-0.20__bike-0.10","permissive",0.01,0.01,0.01,0.2,0.1,4,0.054937106918239,0.758993710691824,0.581205950872301
"floor-permissive__car-0.20__bike-0.20","permissive",0.01,0.01,0.01,0.2,0.2,4,0.032688679245283,0.758993710691824,0.564184487265877
"floor-permissive__car-0.20__bike-0.30","permissive",0.01,0.01,0.01,0.2,0.3,4,0.0205345911949686,0.758993710691824,0.549396763497835
"floor-permissive__car-0.30__bike-0.05","permissive",0.01,0.01,0.01,0.3,0.05,4,0.0718710691823899,0.69937106918239,0.67459296916681
"floor-permissive__car-0.30__bike-0.10","permissive",0.01,0.01,0.01,0.3,0.1,4,0.0718710691823899,0.69937106918239,0.665533731429478
"floor-permissive__car-0.30__bike-0.20","permissive",0.01,0.01,0.01,0.3,0.2,4,0.0446383647798742,0.69937106918239,0.641749868298806
"floor-permissive__car-0.30__bike-0.30","permissive",0.01,0.01,0.01,0.3,0.3,4,0.0285849056603774,0.69937106918239,0.622460523502385
"floor-strict__car-0.05__bike-0.05","strict",0.2,0.2,0.2,0.05,0.05,4,0.0238207547169811,0.840566037735849,0.412982663104488
"floor-strict__car-0.05__bike-0.10","strict",0.2,0.2,0.2,0.05,0.1,4,0.015314465408805,0.840566037735849,0.410240701623761
"floor-strict__car-0.05__bike-0.20","strict",0.2,0.2,0.2,0.05,0.2,4,0.00852201257861635,0.840566037735849,0.404485356976304
"floor-strict__car-0.05__bike-0.30","strict",0.2,0.2,0.2,0.05,0.3,4,0.0049685534591195,0.840566037735849,0.399691621259913
"floor-strict__car-0.10__bike-0.05","strict",0.2,0.2,0.2,0.1,0.05,4,0.0339465408805031,0.809261006289308,0.485235658248439
"floor-strict__car-0.10__bike-0.10","strict",0.2,0.2,0.2,0.1,0.1,4,0.0319654088050314,0.809261006289308,0.484687347059085
"floor-strict__car-0.10__bike-0.20","strict",0.2,0.2,0.2,0.1,0.2,4,0.0186006289308176,0.809261006289308,0.476922696278762
"floor-strict__car-0.10__bike-0.30","strict",0.2,0.2,0.2,0.1,0.3,4,0.0112421383647799,0.809261006289308,0.46894630174605
"floor-strict__car-0.20__bike-0.05","strict",0.2,0.2,0.2,0.2,0.05,4,0.0489308176100629,0.758993710691824,0.580762639487571
"floor-strict__car-0.20__bike-0.10","strict",0.2,0.2,0.2,0.2,0.1,4,0.0548270440251572,0.758993710691824,0.582590600035609
"floor-strict__car-0.20__bike-0.20","strict",0.2,0.2,0.2,0.2,0.2,4,0.032688679245283,0.758993710691824,0.571332926148512
"floor-strict__car-0.20__bike-0.30","strict",0.2,0.2,0.2,0.2,0.3,4,0.0205345911949686,0.758993710691824,0.559228245605698
"floor-strict__car-0.30__bike-0.05","strict",0.2,0.2,0.2,0.3,0.05,4,0.0733333333333333,0.69937106918239,0.675043426214481
"floor-strict__car-0.30__bike-0.10","strict",0.2,0.2,0.2,0.3,0.1,4,0.0765251572327044,0.69937106918239,0.676055368283267
"floor-strict__car-0.30__bike-0.20","strict",0.2,0.2,0.2,0.3,0.2,4,0.0446383647798742,0.69937106918239,0.658167956828506
"floor-strict__car-0.30__bike-0.30","strict",0.2,0.2,0.2,0.3,0.3,4,0.0285849056603774,0.69937106918239,0.641398218481195
