"commune","nom","departement","context","context_type","type_code","t","b","c","anomaly","delta"
"56065","Gourhel","56","Département 56","departement","B207",0.61,0.05,1,"bike_below_foot_transit",-0.56
"35276","Saint-Gondran","35","Département 35","departement","B208",0.52,0.2,1,"bike_below_foot_transit",-0.32
"29155","Ouessant","29","Département 29","departement","D307",0.56,0.48,1,"bike_below_foot_transit",-0.0800000000000001
"35276","Saint-Gondran","35","Département 35","departement","A504",0.22,0.15,1,"bike_below_foot_transit",-0.07
"22033","Caurel","22","Département 22","departement","A504",0.69,0.62,1,"bike_below_foot_transit",-0.07
"29155","Ouessant","29","Département 29","departement","D265",0.67,0.62,1,"bike_below_foot_transit",-0.05
"22033","Caurel","22","Département 22","departement","A129",0.65,0.61,1,"bike_below_foot_transit",-0.04
"35311","Saint-Séglin","35","Département 35","departement","A504",0.81,0.77,1,"bike_below_foot_transit",-0.04
"35084","Comblessac","35","Département 35","departement","B207",0.53,0.49,1,"bike_below_foot_transit",-0.04
"29126","Loc-Brévalaire","29","Département 29","departement","A129",1,0.97,1,"bike_below_foot_transit",-0.03
"35084","Comblessac","35","Département 35","departement","C109",0.54,0.51,1,"bike_below_foot_transit",-0.03
"56200","Ruffiac","56","Département 56","departement","A129",0.43,0.41,1,"bike_below_foot_transit",-0.02
"22324","Saint-Quay-Perros","22","Département 22","departement","A207",0.8,0.78,1,"bike_below_foot_transit",-0.02
"35091","Le Crouais","35","Département 35","departement","A401",0.14,0.12,1,"bike_below_foot_transit",-0.02
"29065","Gourlizon","29","Département 29","departement","A405",0.8,0.78,1,"bike_below_foot_transit",-0.02
"56136","Monteneuf","56","Département 56","departement","A501",0.56,0.54,1,"bike_below_foot_transit",-0.02
"35338","Torcé","35","Département 35","departement","A504",0.85,0.83,1,"bike_below_foot_transit",-0.02
"22033","Caurel","22","Département 22","departement","C108",0.67,0.65,1,"bike_below_foot_transit",-0.02
"29155","Ouessant","29","Département 29","departement","F121",0.51,0.49,1,"bike_below_foot_transit",-0.02
"29038","Commana","29","Département 29","departement","F307",0.56,0.54,1,"bike_below_foot_transit",-0.02
"35294","Sainte-Marie","35","Département 35","departement","B103",0.05,0.03,1,"bike_below_foot_transit",-0.02
"35294","Sainte-Marie","35","Département 35","departement","B206",0.05,0.03,1,"bike_below_foot_transit",-0.02
"56236","Saint-Servant","56","Département 56","departement","A501",0.06,0.04,1,"bike_below_foot_transit",-0.02
"35160","Loutehel","35","Département 35","departement","A129",0.69,0.67,1,"bike_below_foot_transit",-0.0199999999999999
"29104","Landévennec","29","Département 29","departement","B202",0.57,0.55,1,"bike_below_foot_transit",-0.0199999999999999
"29038","Commana","29","Département 29","departement","A129",0.51,0.5,1,"bike_below_foot_transit",-0.01
"35155","Lohéac","35","Département 35","departement","A129",0.89,0.88,1,"bike_below_foot_transit",-0.01
"56009","Bangor","56","Département 56","departement","A129",0.23,0.22,1,"bike_below_foot_transit",-0.01
"56027","Buléon","56","Département 56","departement","A129",0.61,0.6,1,"bike_below_foot_transit",-0.01
"35155","Lohéac","35","Département 35","departement","A208",0.89,0.88,1,"bike_below_foot_transit",-0.01
"35109","Étrelles","35","Département 35","departement","A401",0.84,0.83,1,"bike_below_foot_transit",-0.01
"35084","Comblessac","35","Département 35","departement","A404",0.5,0.49,1,"bike_below_foot_transit",-0.01
"35135","Irodouër","35","Département 35","departement","A404",0.8,0.79,1,"bike_below_foot_transit",-0.01
"29038","Commana","29","Département 29","departement","A405",0.54,0.53,1,"bike_below_foot_transit",-0.01
"29271","Saint-Vougay","29","Département 29","departement","A405",0.53,0.52,1,"bike_below_foot_transit",-0.01
"56136","Monteneuf","56","Département 56","departement","A405",0.07,0.06,1,"bike_below_foot_transit",-0.01
"35084","Comblessac","35","Département 35","departement","A501",0.13,0.12,1,"bike_below_foot_transit",-0.01
"56200","Ruffiac","56","Département 56","departement","A501",0.43,0.42,1,"bike_below_foot_transit",-0.01
"35075","Chauvigné","35","Département 35","departement","A504",0.49,0.48,1,"bike_below_foot_transit",-0.01
"29067","Guerlesquin","29","Département 29","departement","B105",0.71,0.7,1,"bike_below_foot_transit",-0.01
"22240","Plumaugat","22","Département 22","departement","B201",0.39,0.38,1,"bike_below_foot_transit",-0.01
"29155","Ouessant","29","Département 29","departement","B207",0.23,0.22,1,"bike_below_foot_transit",-0.01
"29155","Ouessant","29","Département 29","departement","B210",0.51,0.5,1,"bike_below_foot_transit",-0.01
"56009","Bangor","56","Département 56","departement","C108",0.23,0.22,1,"bike_below_foot_transit",-0.01
"35328","Sixt-sur-Aff","35","Département 35","departement","D277",0.4,0.39,1,"bike_below_foot_transit",-0.01
"22221","Plouguiel","22","Département 22","departement","D307",0.56,0.55,1,"bike_below_foot_transit",-0.01
"35328","Sixt-sur-Aff","35","Département 35","departement","D307",0.4,0.39,1,"bike_below_foot_transit",-0.01
"56009","Bangor","56","Département 56","departement","F116",0.23,0.22,1,"bike_below_foot_transit",-0.01
"56011","Béganne","56","Département 56","departement","F121",0.33,0.32,1,"bike_below_foot_transit",-0.01
"35155","Lohéac","35","Département 35","departement","F307",0.89,0.88,1,"bike_below_foot_transit",-0.01
"56200","Ruffiac","56","Département 56","departement","F307",0.43,0.42,1,"bike_below_foot_transit",-0.01
"56040","Cléguer","56","Département 56","departement","B201",0.04,0.03,0.42,"bike_below_foot_transit",-0.01
"29067","Guerlesquin","29","Département 29","departement","B204",0.04,0.03,1,"bike_below_foot_transit",-0.01
"35294","Sainte-Marie","35","Département 35","departement","B208",0.04,0.03,1,"bike_below_foot_transit",-0.01
"35294","Sainte-Marie","35","Département 35","departement","B210",0.04,0.03,1,"bike_below_foot_transit",-0.01
"56133","Missiriac","56","Département 56","departement","C201",0.04,0.03,1,"bike_below_foot_transit",-0.01
"22201","Plévenon","22","Département 22","departement","A401",0.01,0,1,"bike_below_foot_transit",-0.01
"35242","Rimou","35","Département 35","departement","A404",0.01,0,1,"bike_below_foot_transit",-0.01
"56009","Bangor","56","Département 56","departement","B105",0.01,0,1,"bike_below_foot_transit",-0.01
"56255","Treffléan","56","Département 56","departement","B202",0.02,0.01,1,"bike_below_foot_transit",-0.01
"22235","Plouzélambre","22","Département 22","departement","F307",0.01,0,1,"bike_below_foot_transit",-0.01
"56009","Bangor","56","Département 56","departement","F307",0.21,0.2,1,"bike_below_foot_transit",-0.00999999999999998
"35117","Gaël","35","Département 35","departement","C108",0.47,0.46,1,"bike_below_foot_transit",-0.00999999999999995
"35328","Sixt-sur-Aff","35","Département 35","departement","D265",0.47,0.46,1,"bike_below_foot_transit",-0.00999999999999995
"35314","Saint-Suliac","35","Département 35","departement","A129",0.82,0.81,1,"bike_below_foot_transit",-0.0099999999999999
"56191","Réminiac","56","Département 56","departement","A129",0.57,0.56,1,"bike_below_foot_transit",-0.0099999999999999
"35314","Saint-Suliac","35","Département 35","departement","A208",0.82,0.81,1,"bike_below_foot_transit",-0.0099999999999999
"35314","Saint-Suliac","35","Département 35","departement","A501",0.82,0.81,1,"bike_below_foot_transit",-0.0099999999999999
"35314","Saint-Suliac","35","Département 35","departement","B202",0.82,0.81,1,"bike_below_foot_transit",-0.0099999999999999
"35314","Saint-Suliac","35","Département 35","departement","B207",0.82,0.81,1,"bike_below_foot_transit",-0.0099999999999999
