TYPEQU,Libelle_TYPEQU,Description
D267,SPÉCIALISTE EN DERMATOLOGIE VÉNÉRÉOLOGIE,"Il s'agit du lieu d'exercice des dermatologues et vénérologues exerçant leur activité principale en libéral (en cabinet individuel ou de groupe ou en société). Si le praticien exerce dans plusieurs spécialités, seule la principale a été retenue. Le champ de la source ayant évolué, cette catégorie, créée dans la BPE 2024, remplace l'ancien type d'équipement D203 – Spécialiste en dermatologie vénérologie. (source : Répertoire partagé des professionnels de santé – RPPS)"
A128,FRANCE SERVICES,"Depuis sa création en 2019, France services permet à chaque Français, quel que soit son lieu de résidence, d'accéder aux services publics et d'être accompagné dans la réalisation de ses démarches administratives du quotidien dans un lieu unique par des conseillers France services formés et disponibles. Ce nouveau modèle regroupant 11 partenaires nationaux répond à l'objectif de rapprocher les services publics des Français : actuellement, chaque citoyen dispose d'une France services à moins de 30 minutes en voiture de chez lui. Ces structures doivent répondre aux exigences de la charte nationale d'engagement, qui impose notamment un socle de services minimal constitué de onze types de services : Allocations familiales (CAF), Assurance maladie (CPAM), Assurance retraite (Carsat), Chèque énergie, France Rénov', France Titres (ex-ANTS), France Travail (ex-Pôle Emploi), Finances publiques (DDFiP), La Mutualité sociale agricole (MSA), La Poste, Point-justice. Ce type d'équipement intègre une partie des équipements de la catégorie A123 – Réseau partenarial Pôle Emploi, supprimée en 2021. (source : Agence Nationale de la Cohésion des Territoires – ANCT)"
A129,MAIRIE,Ce sont les mairies principales des communes de France. Ce type d'équipement a été introduit dans la BPE en 2021. (source : Insee - Recensement de la population)
A203,"BANQUE, CAISSE D’ÉPARGNE","Ce sont les établissements de crédit agréés, les banques mutualistes ou coopératives et caisses d'épargne et de prévoyance. Cette catégorie ne comprend pas les guichets financiers de La Poste. Cette catégorie fait apparaître des services administratifs ou des points-contacts que l'on ne peut pas distinguer des guichets. Par ailleurs, la déclaration au RCS des établissements secondaires (les agences) des organismes bancaires n'est pas obligatoire. (source : SIRUS)"
A206,BUREAU DE POSTE,"Le bureau de poste, en gestion directe par La Poste, offre la totalité des produits et services délivrés à la population tant pour ce qui concerne le courrier et les colis (courrier simple, recommandé, réexpédition, prêt à poster…) que pour les services financiers (ouverture de comptes, dépôts, retraits, assurances-vie, PEL, actions…). (source : LA POSTE)"
A207,RELAIS POSTE,"Le relais poste est géré principalement par une personne privée dans le cadre de conventions de partenariat signées entre La Poste et des partenaires privés. Il offre une grande partie des produits et services de proximité délivrés à la population concernant le courrier et les colis (courrier simple, recommandé, prêt à poster, à l'exception de l'établissement d'une procuration postale…). Les services financiers sont limités au retrait d'espèces (maximum 150 euros par semaine) et au paiement de mandat cash. (source : LA POSTE)"
A208,AGENCE POSTALE,"L'agence postale est gérée par une personne publique, représentée par des agents territoriaux dans le cadre de conventions de partenariat signées entre La Poste et les communes ou EPCI concernées. Elle offre une grande partie des produits et services délivrés à la population tant pour ce qui concerne le courrier et les colis (comparable aux prestations des bureaux de poste) que pour les services financiers (légèrement moindres aux prestations des bureaux de poste : ouverture de compte et produits financiers tels que assurance-vie, PEL ou actions impossibles). (source : LA POSTE)"
A401,MAÇON,"Il s'agit de l'activité de maçonnerie, déclarée comme activité principale. Il y a souvent multi-activité chez les artisans. (source : SIRUS)"
A404,PLOMBIER COUVREUR CHAUFFAGISTE,"Il s'agit des activités de plombier, couvreur ou chauffagiste, déclarées comme activités principales. Il est possible qu'une seule des activités soit déclarée, ou qu'il y ait multi-activité. (source : SIRUS)"
A405,ÉLECTRICIEN,"Il s'agit de l'activité d'électricien, déclarée comme activité principale. Il y a souvent multi-activité chez les artisans. (source : SIRUS)"
A501,COIFFURE,"Cette catégorie comprend les salons de coiffure et l'activité de coiffure à domicile. (source : SIRUS)"
A504,RESTAURANT- RESTAURATION RAPIDE,"Cette catégorie comprend la restauration traditionnelle, la restauration de type rapide et depuis 2019, les cafétérias. Les salons de thé y sont également inclus. L'activité de restauration est parfois exercée en annexe de celle d'hôtel. Cette catégorie ne comprend pas les hôtels-restaurants, classés avec les hôtels seuls (G102). (source : SIRUS)"
B103,GRANDE SURFACE DE BRICOLAGE,"Ces surfaces de vente déclarée supérieures à 400 m² proposent uniquement des articles en rapport avec le domaine des travaux, du petit bricolage, de la décoration, du jardinage, du rangement. Elles incluent parfois un rayon proposant la nourriture pour animaux. (source : SIRUS)"
B104,HYPERMARCHÉ ET GRAND MAGASIN,"Ce sont les commerces de détail non-spécialisés à prédominance alimentaire (hypermarchés) ou sans prédominance alimentaire (grands magasins) avec une surface de vente déclarée égale ou supérieure à 2500 m². Ce type d'équipement concerne aussi les établissements des hypermarchés spécifiquement dédiés au drive. Ce type d'équipement élargit le champ de l'ancienne catégorie B101 – Hypermarché, supprimée de la BPE 2023. Cette catégorie est introduite dans la BPE en 2023. (source : SIRUS)"
B105,SUPERMARCHÉ ET MAGASIN MULTI-COMMERCE,"Ce sont les commerces de détail non-spécialisés à prédominance alimentaire avec une surface de vente déclarée entre 400 et 2500 m², réalisant un chiffre d'affaires alimentaire supérieur à 65 % des ventes (supermarchés) ou inférieur à 65% (magasins multi-commerces). Ce type d'équipement concerne aussi les établissements des supermarchés spécifiquement dédiés au drive. Ce type d'équipement élargit le champ de l'ancienne catégorie B102 – Supermarché, supprimée de la BPE 2023. Cette catégorie est introduite dans la BPE en 2023. (source : SIRUS)"
B201,SUPÉRETTE,"Ce sont les commerces de détail non spécialisés à prédominance alimentaire avec une surface de vente déclarée entre 120 et 400 m². La limite de 120 m² n'est utilisée que par la NAF : il est recommandé de regrouper les supérettes (B201) avec les épiceries (B202). Remarque : la NAF a conservé le seuil de 400 m², différent du seuil administratif de la DGCCRF fixé à 300 m². (source : SIRUS)"
B202,ÉPICERIE,"Ce sont les commerces de détail non spécialisés à prédominance alimentaire avec une surface de vente déclarée inférieure à 120 m². Les multiservices en zone rurale, à la fois épicerie, café, vente de tabac, vente de journaux, restaurant, etc. n'apparaissent ici que si la déclaration effectuée à SIRENE mentionne l'activité d'épicerie en activité principale. La limite de 120 m² n'est utilisée que par la NAF : il est recommandé de regrouper les épiceries (B202) avec les supérettes (B201). (source : SIRUS)"
B204,BOUCHERIE CHARCUTERIE,"Ce sont les commerces de détail spécialisés dans la vente de viande et la préparation à base de viande. Cette activité ne comprend pas les traiteurs exclusifs. (source : SIRUS)"
B206,POISSONNERIE,"Ce sont les commerces de détail alimentaire en magasin spécialisé de vente des produits de la mer (poissons, crustacés et mollusques). Cette catégorie ne comprend pas les entreprises de transformation et conservation industrielles, les exploitations d'aquaculture et les activités de pêche. (source : SIRUS)"
B207,BOULANGERIE-PÂTISSERIE,"Ce sont les commerces dédiés à la vente de produits de boulangerie (pain, viennoiserie, confiseries, quiches, tartes salées, etc.), artisanale ou pas, avec ou sans pâtisserie, et sans possibilité de consommer sur place. Cette catégorie ne comprend ni la préparation, cuisson ou vente de pizzas à consommer sur place, à emporter ou livrées, ni la fabrication de quiches, tartes salées, tourtes et pizzas surgelées, ni les activités des salons de thé. Cette catégorie ne comprend pas les confiseurs spécialisés. Ce type d'équipement élargit le champ de l'ancienne catégorie B203 – Boulangerie, supprimé de la BPE 2023. Cette catégorie est introduite dans la BPE en 2023. (source : SIRUS)"
B208,COMMERCE SPÉCIALISÉ EN FRUITS ET LÉGUMES,"Ce sont les commerces de détail dédiés à la vente de fruits et légumes frais ou en conserve. Cette catégorie ne contient pas le commerce de fruits et légumes surgelés. Cette catégorie est introduite dans la BPE en 2023. (source : SIRUS)"
B209,COMMERCE DE BOISSONS,"Ce sont les commerces de détail dédiés à la vente de boissons alcoolisées ou non-alcoolisées non destinées à la consommation sur place. Cette catégorie ne contient pas l'activité des débits de boissons. Cette catégorie est introduite dans la BPE en 2023. (source : SIRUS)"
