"activity_id","activity","nace_code","flag","cepa_crema_class"
1,"Organic agricultural, that is to say, plant and livestock","01.1","v","4"
1,"Organic agricultural, that is to say, plant and livestock","01.2","v","4"
1,"Organic agricultural, that is to say, plant and livestock","01.4","v","4"
1,"Organic agricultural, that is to say, plant and livestock","01.61","v","4"
1,"Organic agricultural, that is to say, plant and livestock","01.62","v","4"
2,"Organic aquaculture activities and supporting services","03.2","v","4"
3,"Activities related to fuel wood, including pellets, wood gas and other wood production when complying with sustaibability measures","02.20","v","13A"
3,"Activities related to fuel wood, including pellets, wood gas and other wood production when complying with sustaibability measures","16.10","v","13A"
4,"Silvicultural services and supporting services for forestry","02.10","h","11A"
4,"Silvicultural services and supporting services for forestry","02.40","h","11A"
5,"Rehabilitation of mining sites","09","v","6"
5,"Rehabilitation of mining sites","39","v","6"
6,"Capturing drainage water to prevent groundwater contamination","09","v","4"
6,"Capturing drainage water to prevent groundwater contamination","39","v","4"
7,"Manufacutre of machinery for silviculture","28.30","v","11A"
8,"Manufacture of electric and more resource-efficient transport equipment","28.30","v","1"
8,"Manufacture of electric and more resource-efficient transport equipment","28.92","v","1"
8,"Manufacture of electric and more resource-efficient transport equipment","29.10","v","1"
8,"Manufacture of electric and more resource-efficient transport equipment","30.11","v","1"
8,"Manufacture of electric and more resource-efficient transport equipment","30.12","v","1"
9,"Manufacture of exhaust pipes and their parts, including also particles filters","29.32","v","1"
9,"Manufacture of exhaust pipes and their parts, including also particles filters","30.91","v","1"
10,"Activities related to infrastructure for the operation of electric vehicles such as charging stations","27.12","v","1"
10,"Activities related to infrastructure for the operation of electric vehicles such as charging stations","27.90","v","1"
11,"Manufacture of electric vehicles components","27.11","v","1"
11,"Manufacture of electric vehicles components","27.20","v","1"
11,"Manufacture of electric vehicles components","27.90","v","1"
11,"Manufacture of electric vehicles components","29.31","v","1"
12,"Manufacture of instruments, machinery and apparatus for analysis, filtering or purification of solid, liquid or gaseous pollutants","26.51","v","1,2,3"
12,"Manufacture of instruments, machinery and apparatus for analysis, filtering or purification of solid, liquid or gaseous pollutants","28.25","v","1,2,3"
12,"Manufacture of instruments, machinery and apparatus for analysis, filtering or purification of solid, liquid or gaseous pollutants","28.29","v","1,2,3"
13,"Manufacture of lime products for the purpose of environmental protection","23.52","v","1,2,4"
14,"Manufacture of septic tanks","22.23","v","2"
14,"Manufacture of septic tanks","25.29","v","2"
15,"Manufacture of perforated buckets and similar articles used to filter water at the entrance to drains","22.29","v","2"
15,"Manufacture of perforated buckets and similar articles used to filter water at the entrance to drains","25.99","v","2"
16,"Manufacture of pumps for use in wastewater treatment","28.13","v","2"
17,"Manufacture of vehicles for wastewater collection and sewer cleaning","29.10","v","2"
18,"Manufacture of other specific equipment for wastewater treatment","Not available","v","2"
19,"Manufacture of activated carbon for purifying liquids and gases","20.59","v","1,2,4"
20,"Manufacture of tubes and pipes for wastewater treatment plants as well as for water management","22.21","v","2,10"
20,"Manufacture of tubes and pipes for wastewater treatment plants as well as for water management","23.61","v","2,10"
20,"Manufacture of tubes and pipes for wastewater treatment plants as well as for water management","24.2","v","2,10"
20,"Manufacture of tubes and pipes for wastewater treatment plants as well as for water management","24.44","v","2,10"
20,"Manufacture of tubes and pipes for wastewater treatment plants as well as for water management","24.51","v","2,10"
21,"Construction of cooling towers and instruments, machinery and apparatus for the treatment of cooling water","28.29","v","2"
21,"Construction of cooling towers and instruments, machinery and apparatus for the treatment of cooling water","42.99","v","2"
21,"Construction of cooling towers and instruments, machinery and apparatus for the treatment of cooling water","71.12","v","2"
22,"Manufacture of sacks and bags for replacing plastic bags","13.92","v","13C"
22,"Manufacture of sacks and bags for replacing plastic bags","17.21","v","13C"
23,"Manufacture of bio-plastic products","22.2","v","13C"
24,"Manufacture of bins, boxes, sacks and bags for storing and transporting waste","22.22","v","3"
25,"Manufacture of equipment and machinery for waste collection, treatment and disposal: Incinerators","28.21","v","3"
26,"Manufacture of equipment and machinery for waste collection, treatment and disposal: Trucks and vehicles for waste collection","29.10","v","3"
27,"Manufacture of equipment and machinery for waste collection, treatment and disposal: Machinery in waste treatment plants that is to say separators, classifiers, presses, sieves","28.22","v","3"
27,"Manufacture of equipment and machinery for waste collection, treatment and disposal: Machinery in waste treatment plants that is to say separators, classifiers, presses, sieves","28.29","v","3"
27,"Manufacture of equipment and machinery for waste collection, treatment and disposal: Machinery in waste treatment plants that is to say separators, classifiers, presses, sieves","28.9","v","3"
28,"Manufacture of containers for waste management, protection against particle radiation, water management and protection of climate and ambient air","22.29","v","1,3,7,10"
28,"Manufacture of containers for waste management, protection against particle radiation, water management and protection of climate and ambient air","25.29","v","1,3,7,10"
28,"Manufacture of containers for waste management, protection against particle radiation, water management and protection of climate and ambient air","25.92","v","1,3,7,10"
28,"Manufacture of containers for waste management, protection against particle radiation, water management and protection of climate and ambient air","25.99","v","1,3,7,10"
29,"Maintenance and repair activities for reducing water losses","33.12","v","10"
30,"Manufacture of specific equipment and installation services for the production of energy from renewable sources, except energy storage systems such as high-efficient wood-fired boilers and other appliances; solar panels and photovoltaic cells, hydraulic turbines and water wheels and wind turbines","26.11","v","13A"
30,"Manufacture of specific equipment and installation services for the production of energy from renewable sources, except energy storage systems such as high-efficient wood-fired boilers and other appliances; solar panels and photovoltaic cells, hydraulic turbines and water wheels and wind turbines","27.52","v","13A"
30,"Manufacture of specific equipment and installation services for the production of energy from renewable sources, except energy storage systems such as high-efficient wood-fired boilers and other appliances; solar panels and photovoltaic cells, hydraulic turbines and water wheels and wind turbines","28.11","v","13A"
30,"Manufacture of specific equipment and installation services for the production of energy from renewable sources, except energy storage systems such as high-efficient wood-fired boilers and other appliances; solar panels and photovoltaic cells, hydraulic turbines and water wheels and wind turbines","33.20","v","13A"
31,"Manufacture and installation of energy storage technologies, equipment, and installation: specific equipment associated with renewable energy, such as compressed air storage power stations, sensitive heat storage systems, latent heat storage systems, hydrogen storage and power-to-gas, such as storage of wind power in the form of hydrogen or methane","27.20","v","13A"
31,"Manufacture and installation of energy storage technologies, equipment, and installation: specific equipment associated with renewable energy, such as compressed air storage power stations, sensitive heat storage systems, latent heat storage systems, hydrogen storage and power-to-gas, such as storage of wind power in the form of hydrogen or methane","33.20","v","13A"
