code_commune,population
22001,589
22002,1180
22003,973
22004,4889
22005,1024
22006,272
22008,1170
22009,186
22011,1054
22012,824
22013,2145
22014,1277
22015,1684
22016,429
22018,334
22019,518
22020,2943
22021,1153
22023,406
22024,245
22025,2312
22026,729
22028,845
22029,350
22030,899
22031,673
22032,2501
22033,353
22034,1571
22035,1054
22036,211
22037,413
22039,578
22040,532
22041,248
22042,489
22044,1869
22045,402
22046,6556
22047,914
22048,2331
22049,1671
22050,14764
22052,385
22053,675
22054,3974
22055,7041
22056,1784
22057,412
22059,1375
22060,648
22061,1440
22062,560
22063,551
22064,866
22065,1751
22067,2601
22068,423
22069,215
22070,7111
22071,701
22072,409
22073,386
22074,658
22075,687
22076,1479
22077,1294
22079,2310
22081,4335
22082,927
22083,706
22084,2541
22085,292
22086,642
22087,629
22088,245
22090,1112
22091,443
22092,268
22093,17241
22094,1611
22095,167
22096,461
22097,761
22098,1444
22099,1077
22101,1175
22103,991
22104,563
22105,1170
22106,7939
22107,1248
22108,121
22109,252
22110,575
22111,394
22112,423
22113,20315
22114,874
22115,464
22116,1387
22117,1814
22118,4291
22119,608
22121,1969
22122,744
22124,216
22126,152
22127,1623
22128,434
22129,75
22131,840
22132,245
22133,659
22134,3019
22135,2448
22136,9987
22137,1497
22138,362
22139,75
22140,626
22141,226
22143,1771
22144,1320
22145,812
22146,443
22147,3139
22148,249
22149,481
22150,986
22152,1271
22153,738
22155,2173
22156,645
22157,656
22158,2532
22160,985
22161,2771
22162,7341
22163,671
22164,1893
22165,617
22166,2584
22168,7336
22169,191
22170,1712
22171,4602
22172,3104
22174,721
22175,1662
22176,6933
22177,1443
22178,1306
22179,1611
22180,1992
22181,716
22182,3344
22183,3764
22184,1578
22185,2579
22186,3988
22187,14425
22188,1123
22189,563
22190,4065
22193,1635
22194,3639
22195,2365
22196,921
22197,2924
22198,3848
22199,1188
22201,750
22202,754
22203,4103
22204,1229
22205,467
22206,3974
22207,2237
22208,1798
22209,4498
22210,2932
22211,3780
22212,1140
22213,3416
22214,3147
22215,11507
22216,760
22217,426
22218,1242
22219,2380
22220,1601
22221,1747
22222,4634
22223,2007
22224,1598
22225,5414
22226,2466
22227,798
22228,1479
22229,1064
22231,351
22232,2155
22233,2270
22234,1144
22235,198
22236,738
22237,2844
22238,529
22239,1421
22240,1160
22241,1678
22242,1521
22243,559
22244,520
22245,1017
22246,2116
22248,1809
22249,595
22250,1002
22251,7454
22254,1078
22255,885
22256,1118
22257,417
22258,3969
22259,3955
22260,597
22261,363
22262,2739
22263,359
22264,2629
22265,1794
22266,3282
22267,409
22268,595
22269,245
22271,376
22272,2169
22273,2397
22274,409
22275,1223
22276,267
22277,2317
22278,44364
22279,1132
22280,1167
22281,1576
22282,3371
22283,877
22284,303
22285,258
22286,495
22287,1477
22288,372
22289,210
22291,248
22293,384
22294,307
22295,307
22296,664
22299,1560
22300,425
22302,908
22304,694
22305,446
22306,594
22307,2101
22308,663
22310,541
22311,882
22312,218
22313,319
22314,399
22315,286
22316,454
22317,270
22318,334
22319,447
22320,167
22321,1523
22322,397
22323,839
22324,1308
22325,3224
22326,551
22327,1625
22328,435
22330,371
22331,189
22332,526
22333,781
22334,126
22335,235
22337,1117
22338,747
22339,2636
22340,1201
22341,704
22342,441
22343,3821
22344,761
22345,844
22346,906
22347,1055
22348,513
22349,1478
22350,210
22351,516
22352,282
22353,2524
22354,1096
22356,945
22358,515
22359,464
22360,8450
22361,630
22362,2294
22363,1245
22364,2865
22365,183
22366,409
22368,729
22369,809
22370,362
22371,1156
22372,2259
22373,106
22375,670
22376,1681
22377,813
22378,228
22379,1603
22380,682
22381,354
22383,227
22384,1134
22385,1149
22386,742
22387,1299
22388,1304
22389,5074
22390,765
22391,1135
29001,1065
29002,1441
29003,3727
29004,5725
29005,1369
29006,3849
29007,943
29008,1008
29010,1723
29011,3727
29012,168
29013,224
29014,425
29015,3573
29016,1067
29017,868
29018,454
29019,142346
29020,5816
29021,1972
29022,2494
29023,3272
29024,7412
29025,1570
29026,5085
29027,3651
29028,916
29029,1130
29030,3584
29031,4708
29032,2264
29033,502
29034,641
29035,1133
29036,588
29037,4265
29038,983
29039,20845
29040,2835
29041,1856
29042,7499
29043,1864
29044,1853
29045,2188
29046,14068
29047,1896
29048,2186
29049,3427
29051,8606
29053,1911
29054,677
29055,3315
29056,2018
29057,3508
29058,10436
29059,1043
29060,2836
29061,6501
29062,1111
29063,446
29064,432
29065,949
29066,1846
29067,1285
29068,2585
29069,8268
29070,520
29071,803
29072,2669
29073,982
29074,994
29075,15538
29076,4816
29077,1979
29078,2025
29079,1181
29080,2215
29081,1440
29082,458
29083,263
29084,176
29085,742
29086,1411
29087,765
29089,897
29090,805
29091,1999
29093,1407
29094,665
29095,1571
29097,2032
29098,2221
29099,816
29100,401
29101,3702
29102,993
29103,16363
29104,330
29105,9426
29106,1882
29107,930
29108,1459
29109,1579
29110,836
29111,1282
29112,1013
29113,2387
29114,342
29115,321
29116,158
29117,5709
29119,1551
29120,2044
29122,685
29123,812
29124,7566
29125,846
29126,210
29128,376
29130,5130
29131,487
29132,790
29133,1555
29134,829
29135,4075
29136,1177
29137,2130
29139,828
29140,3959
29141,336
29142,424
29143,1021
29144,751
29145,861
29146,3371
29147,3404
29148,946
29150,6749
29151,15194
29152,654
29153,2795
29155,860
29156,2234
29158,5508
29159,917
29160,8686
29161,3311
29162,3692
29163,3166
29165,3718
29166,550
29167,2024
29168,1131
29169,3236
29170,4239
29171,3904
29172,2282
29173,2409
29174,6452
29175,2160
29176,1781
29177,4029
29178,6522
29179,3732
29180,872
29181,3103
29182,1050
29183,717
29184,2610
