sous_classe,na17_code,na17_libelle
01.11Z,AZ,"Agriculture, sylviculture et pêche"
01.12Z,AZ,"Agriculture, sylviculture et pêche"
01.13Z,AZ,"Agriculture, sylviculture et pêche"
01.14Z,AZ,"Agriculture, sylviculture et pêche"
01.15Z,AZ,"Agriculture, sylviculture et pêche"
01.16Z,AZ,"Agriculture, sylviculture et pêche"
01.19Z,AZ,"Agriculture, sylviculture et pêche"
01.21Z,AZ,"Agriculture, sylviculture et pêche"
01.22Z,AZ,"Agriculture, sylviculture et pêche"
01.23Z,AZ,"Agriculture, sylviculture et pêche"
01.24Z,AZ,"Agriculture, sylviculture et pêche"
01.25Z,AZ,"Agriculture, sylviculture et pêche"
01.26Z,AZ,"Agriculture, sylviculture et pêche"
01.27Z,AZ,"Agriculture, sylviculture et pêche"
01.28Z,AZ,"Agriculture, sylviculture et pêche"
01.29Z,AZ,"Agriculture, sylviculture et pêche"
01.30Z,AZ,"Agriculture, sylviculture et pêche"
01.41Z,AZ,"Agriculture, sylviculture et pêche"
01.42Z,AZ,"Agriculture, sylviculture et pêche"
01.43Z,AZ,"Agriculture, sylviculture et pêche"
01.44Z,AZ,"Agriculture, sylviculture et pêche"
01.45Z,AZ,"Agriculture, sylviculture et pêche"
01.46Z,AZ,"Agriculture, sylviculture et pêche"
01.47Z,AZ,"Agriculture, sylviculture et pêche"
01.49Z,AZ,"Agriculture, sylviculture et pêche"
01.50Z,AZ,"Agriculture, sylviculture et pêche"
01.61Z,AZ,"Agriculture, sylviculture et pêche"
01.62Z,AZ,"Agriculture, sylviculture et pêche"
01.63Z,AZ,"Agriculture, sylviculture et pêche"
01.64Z,AZ,"Agriculture, sylviculture et pêche"
01.70Z,AZ,"Agriculture, sylviculture et pêche"
02.10Z,AZ,"Agriculture, sylviculture et pêche"
02.20Z,AZ,"Agriculture, sylviculture et pêche"
02.30Z,AZ,"Agriculture, sylviculture et pêche"
02.40Z,AZ,"Agriculture, sylviculture et pêche"
03.11Z,AZ,"Agriculture, sylviculture et pêche"
03.12Z,AZ,"Agriculture, sylviculture et pêche"
03.21Z,AZ,"Agriculture, sylviculture et pêche"
03.22Z,AZ,"Agriculture, sylviculture et pêche"
05.10Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
05.20Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
06.10Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
06.20Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
07.10Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
07.21Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
07.29Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
08.11Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
08.12Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
08.91Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
08.92Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
08.93Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
08.99Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
09.10Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
09.90Z,DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution"
10.11Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.12Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.13A,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.13B,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.20Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.31Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.32Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.39A,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.39B,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.41A,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.41B,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.42Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.51A,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.51B,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.51C,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.51D,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.52Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.61A,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.61B,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.62Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.71A,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.71B,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.71C,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.71D,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.72Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.73Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.81Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.82Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.83Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.84Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.85Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
10.86Z,C1,"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
